2025-05-23 06:25:03,613 [INFO] wb_api: Приложение запущено внутри контейнера
web-1  | 2025-05-23 06:25:03,676 [INFO] yandex_api: Приложение запущено
web-1  | 2025-05-23 06:25:16,999 [INFO] yandex_api: Sample Yandex results (first 3): [{'product_id': '102662400826', 'name': 'Смартфон Samsung Galaxy S24 8/128 ГБ, Dual: nano SIM + eSIM, onyx black', 'brand': 'Смартфон', 'price': 43006, 'original_price': 89595, 'rating': 4.8, 'reviews_count': 1700, 'shop': 'Пэй', 'url': 'https://market.yandex.ru/product--smartfon-samsung-galaxy-s24-8-128-gb-dual-nano-sim-esim-onyx-black/49508300?hid=90401&sku=102662400826&show-uid=17479707157871132293706001&from=search&cpa=1&do-waremd5=aedEVPqHA1fpO48foXzXsQ&sponsored=1&cpc=-C20i2r2ypy-HK5soLEzV9pQmvoa4oHKqOJwpHz5xXEtIqlTch3bUNUbZbeurVSVEwGjl8EvBDIU_N3Vj0uKnmADxUmsezlq8dEhpkwK5iFi6KeKVHjcPbn7RQNwXL_-4SGLg6o7FmIDKaVdW806QlPe4EOG9KC3Bdu4Z0nhaDrrqRXf99lpqryFRNbtbg5eTr1qYVm3T3HNq6pOTAv0c5PsgXWKFHSn7zOMWgw0JVOzi8B8j1VAwvmr0vOzmTybQeTW46hHqaYD-tNdRxMwDiFO8x7DHAD4g-I9qW6rENfzDKOkuTXrsExsjfEiZ5cxymod11cl6FS6SpmWgq1uKG_Z-Nab5Jhu7aOisEVK2-oGx0-zP2o_9sy0z0OpuzIPFcMf07KtOR4sgsNwXkh407c0Pilwm4NPzCnafcYlQRx6szBq6QdVaM33LuvyViAMnuWanQAb_UBH5QEZ8qAeiDsRSMQogOGcGKXV7yO2dhlERH5aDA1UYxgLz-p0B05fwWIGTbFyj32vLqQH8X3Eb8b3UF5Q3tlysNCPImaAp1apANP7vLE-OlN38iX4x9nTNfNexC-gEyo%2C&cc=CiBkOGVlM2UzN2VhNTA5OTViOGRiODViY2M0ZjJjZmJhYxDnAYB95u0G&uniqueId=62878861', 'image_url': 'https://avatars.mds.yandex.net/get-mpic/11395611/2a0000018d925653dc318d4858b8b9d8cc74/orig', 'delivery_date': 'С 1 июня', 'delivery_types': ['ПВЗ', 'По клику'], 'duty': 4767, 'characteristics': {'Диагональ экрана:': '6.2"', 'Встроенная память:': '128 ГБ', 'Оперативная память:': '8 ГБ', 'Версия:': 'для других стран', 'Количество основных камер:': '3'}}, {'product_id': '102662400826', 'name': 'Смартфон Samsung Galaxy S24 8/128Gb, черный black Global Version', 'brand': 'Смартфон', 'price': 49163, 'original_price': 55239, 'rating': 5.0, 'reviews_count': 2, 'shop': 'Пэй', 'url': 'https://market.yandex.ru/product--smartfon-samsung-galaxy-s24-8-128-gb-dual-nano-sim-esim-onyx-black/49508300?hid=90401&sku=102662400826&show-uid=17479707157871132293706002&from=search&cpa=1&do-waremd5=KlJmEyNQUVoQA8ysfJkHXQ&sponsored=1&cpc=-C20i2r2ypxyuXkMyeuy9nVBtTsPIdpEI5H8NY_hNn7PnLCxcz8DkvmqZIgykG_kw2ZulCN63PiUJ2uzeBy-DoKunNTjabLyH-iR3lePFBc5MwM7_fPbXm0EYXmsCjM1IpVldc5rMr4yWwLha9n9449CrcNLZdIF-Sd8A5KAmpj8R1G_xWmBCQGbKKkCIFwnHjJrF1dSgk5b5QnuvboImM752cEBh2jyozioKeDncA11BNPTAxGsTq0vAtgeGJ6-e-nN2vLh0Fj8tZFE0FN16Rl9TQZU3OpCwvTM6MkSOUWd-Ef6vVHD94H8SCglVacik_eV7nI4zCa9G1MoLLtVRNru8ho2rSBqoh8bBaikIUF-j_OaOk97uVmsVF8-T-1OwaxIUcq2ux0IVdw5FK6k7kJbmnpQI0TAqsPI-7b_wyj1QSWDFEtT3IAhLgkmBfZqhArRKvQZwIdu_LvHyq5w0NJ9nhhE-uRDaWVfTuto_gzLE0QcvLUyBXJX3_qxBM7Tsi9HJPRvd5cL8BuU0yMX2cixt8g7ueVH&cc=CiBkOGVlM2UzN2VhNTA5OTViOGRiODViY2M0ZjJjZmJhYxCIAoB95u0G&uniqueId=67448673&cpm-adv=1', 'image_url': 'https://avatars.mds.yandex.net/get-mpic/5232557/img_id2556303069502217976.png/orig', 'delivery_date': '2 июня', 'delivery_types': ['ПВЗ', 'По клику'], 'duty': None, 'characteristics': {'Диагональ экрана:': '6.2"', 'Встроенная память:': '128 ГБ', 'Оперативная память:': '8 ГБ', 'Версия:': 'Global', 'Количество основных камер:': '3'}}, {'product_id': '103552368225', 'name': 'Смартфон Samsung Galaxy S24 FE, 8/256 GB, 6.7", цвет Graphite / Графит', 'brand': 'Смартфон', 'price': 47257, 'original_price': 62180, 'rating': None, 'reviews_count': None, 'shop': 'Пэй', 'url': 'https://market.yandex.ru/product--smartfon-samsung-galaxy-s24-fe-8-256-gb-6-7-tsvet-graphite-grafit/702969125?hid=90401&sku=103552368225&show-uid=17479707157871132293706003&from=search&cpa=1&do-waremd5=uc886CUqTfFfZX88u0uQZA&sponsored=1&cpc=-C20i2r2ypxPL51aJm4YUmdpJFozUtTv0WZuSm3L2XnvOTAWqB-6p_ElCFr_NfeAAl7k8GdRvt0V3WM8lbZRWumZzWrRPTeImxRbqlQtuhrRUJ0Y5JjLF3NWlgJdWvJ84l9s1XJBhh3LE8p27jglGu5nd45O_3pfR5rs2c0wY6e9GomJTe58xSPRuCyrtA-wG6HadTeogTlchTUjjzP59qpwtuDn4JhZmQVGUs3E-goJI0KznrYXHaoZU-AIrtcZC6Q_897mrTpiPn3pt5qbpJLNYrtjbqA5I0x199bWaPoCvhdKkheRZGarjQaaoiIPkaq6--bIIfniN7lTQdygm4-4SwD2tEL5ox-2zdAOL_22_hGI-Mi_Su4V8l6QOmXxsSCCTg_FicXnmscE71SlUOyiTGpQElXJ-zOmqiox4AwJdR4c8Jh1KgJj_MBcCq1AP-h05jGy-kNMd58vSnd4UTO1jBvbAJ4h0RvjohNhU6Vl9um_d7jpOYYI6Dx_EZn6X3Ya3msTiAMEcthjcoGlZ0bPynVPLTLdB-CjNLq56K9q_7QVCtBAnUGhuIltTCkh&cc=CiBkOGVlM2UzN2VhNTA5OTViOGRiODViY2M0ZjJjZmJhYxDnAYB95u0G&uniqueId=183597609', 'image_url': 'https://avatars.mds.yandex.net/get-mpic/5268639/2a00000192fdba4bd38d0e2f9412c4e0bbc9/orig', 'delivery_date': '31 мая', 'delivery_types': ['ПВЗ', 'По клику'], 'duty': None, 'characteristics': {'Встроенная память:': '256 ГБ', 'Оперативная память:': '8 ГБ', 'Беспроводные интерфейсы:': 'Bluetooth, Wi-Fi', 'Цвет товара:': 'graphite'}}]
web-1  | 2025-05-23 06:25:17,000 [INFO] yandex_api: product: ID товара: 102662400826
web-1  | Название: Смартфон Samsung Galaxy S24 8/128 ГБ, Dual: nano SIM + eSIM, onyx black                                                                                                                                                                                
web-1  | Бренд: Смартфон                                                                                                                                                                                                                                                  
web-1  | Цена: 43006 ₽                                                                                                                                                                                                                                                    
web-1  | Цена без скидки: 89595 ₽                                                                                                                                                                                                                                         
web-1  | Рейтинг: 4.8                                                                                                                                                                                                                                                     
web-1  | Количество отзывов: 1700                                                                                                                                                                                                                                         
web-1  | Магазин: Пэй                                                                                                                                                                                                                                                     
web-1  | Ссылка на товар: https://market.yandex.ru/product--smartfon-samsung-galaxy-s24-8-128-gb-dual-nano-sim-esim-onyx-black/49508300?hid=90401&sku=102662400826&show-uid=17479707157871132293706001&from=search&cpa=1&do-waremd5=aedEVPqHA1fpO48foXzXsQ&sponsored=1&cpc=-C20i2r2ypy-HK5soLEzV9pQmvoa4oHKqOJwpHz5xXEtIqlTch3bUNUbZbeurVSVEwGjl8EvBDIU_N3Vj0uKnmADxUmsezlq8dEhpkwK5iFi6KeKVHjcPbn7RQNwXL_-4SGLg6o7FmIDKaVdW806QlPe4EOG9KC3Bdu4Z0nhaDrrqRXf99lpqryFRNbtbg5eTr1qYVm3T3HNq6pOTAv0c5PsgXWKFHSn7zOMWgw0JVOzi8B8j1VAwvmr0vOzmTybQeTW46hHqaYD-tNdRxMwDiFO8x7DHAD4g-I9qW6rENfzDKOkuTXrsExsjfEiZ5cxymod11cl6FS6SpmWgq1uKG_Z-Nab5Jhu7aOisEVK2-oGx0-zP2o_9sy0z0OpuzIPFcMf07KtOR4sgsNwXkh407c0Pilwm4NPzCnafcYlQRx6szBq6QdVaM33LuvyViAMnuWanQAb_UBH5QEZ8qAeiDsRSMQogOGcGKXV7yO2dhlERH5aDA1UYxgLz-p0B05fwWIGTbFyj32vLqQH8X3Eb8b3UF5Q3tlysNCPImaAp1apANP7vLE-OlN38iX4x9nTNfNexC-gEyo%2C&cc=CiBkOGVlM2UzN2VhNTA5OTViOGRiODViY2M0ZjJjZmJhYxDnAYB95u0G&uniqueId=62878861
web-1  | Ссылка на изображение: https://avatars.mds.yandex.net/get-mpic/11395611/2a0000018d925653dc318d4858b8b9d8cc74/orig
web-1  | Дата доставки: С 1 июня                                                                                                                                                                                                                                          
